date,symbol,news,impact_score
2019-01-09,A,Agilent Technologies Meets 80-Plus Relative Strength Rating Benchmark,3.0
2019-01-14,A,Will Agilent (A) Beat Estimates Again in Its Next Earnings Report?,0.0
2019-01-18,A,TE Connectivity (TEL) Q1 Earnings: What's in the Cards?,0.0
2019-02-07,A,Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q4 2018 Update,0.0
2019-02-13,A,Agilent Technologies (A) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.0
2019-02-15,A,3 Things to Know About Q4 Earnings Season,0.0
2019-02-20,A,"Agilent Technologies, Inc.'s (A) CEO Mike McMullen on Q1 2019 Results - Earnings Call Transcript Agilent Technologies Inc. 2019 Q1 - Results - Earnings Call Slides Agilent FQ1 non-GAAP earnings up 13%; soft guidance pressures shares, down 4% after hours Thermo Fisher: Stellar Results Year After Year Fiber Optic Sensor Market - The Mastermind Behind Today's Technology",1.0
2019-02-21,A,Agilent (A) Surpasses Earnings and Revenue Estimates in Q1,0.0
2019-02-22,A,"Top Research Reports for McDonald's, CVS Health & Celgene Agilent (A) Upgraded to Buy: Here's Why",0.0
2019-02-25,A,"The Zacks Analyst Blog Highlights: McDonald's, CVS Health, Celgene, Coca-Cola and Agilent Top Ranked Momentum Stocks to Buy for February 25th",1.0
2019-02-26,A,Top Ranked Momentum Stocks to Buy for February 26th,-1.0
2019-02-27,A,"Oxford Asset Management Buys Federal Street Acquisition Corp, Tesaro Inc, BHP Group PLC, Sells ...",1.0
2019-02-28,A,Booking Holdings (BKNG) Q4 Earnings & Revenues Beat Estimates Square (SQ) Surpasses Q4 Earnings and Revenue Estimates,0.0
2019-03-06,A,6 Stocks Beating the Market,-1.0
2019-03-15,A,BMO likes Amgen and Gilead in premarket analyst action,0.0
2019-03-19,A,Tencent (TCEHY) to Report Q4 Earnings: What's in the Cards?,0.0
2019-03-20,A,Agilent declares $0.164 dividend,0.0
2019-03-22,A,Why Is Agilent (A) Up 5.3% Since Last Earnings Report?,-2.0
2019-03-25,A,"Investor Expectations to Drive Momentum within Entercom Communications, PPL, Clean Energy ...",1.0
2019-03-29,A,"Hedge Funds Have Never Been This Bullish On Xilinx, Inc. 33 Firms Going Ex-Dividend Next Week, Including Comcast, JP Morgan And Cisco Systems",0.0
2019-04-02,A,Agilent launches new QC system for next-gen sequencing,0.0
2019-04-12,A,Calamos Wealth Management Llc Buys Amazon. ...,-1.0
2019-04-15,A,Amtek (AME) Hits Fresh High: Is There Still Room to Run?,-1.0
2019-04-18,A,IBD Stock Of The Day: This Company Gets A Lift From Its 5G Rollout,1.0
2019-04-23,A,Waters Q1 miss and lower guidance pressures life sciences kit makers,-1.0
2019-04-29,A,Square (SQ) to Report Q1 Earnings: What's in the Offing? What's in Store for AMETEK (AME) This Earnings Season?,0.0
2019-05-01,A,Why the Earnings Surprise Streak Could Continue for Agilent (A) AMETEK (AME) Q1 Earnings and Revenues Surpass Estimates,0.0
2019-05-02,A,"Avid Technology (AVID) to Post Q1 Earnings: What's in Store? Trimble's (TRMB) Q1 Earnings Miss Estimates, Revenues Up Y/Y",1.0
2019-05-03,A,"Twin Capital Management Inc Buys Agilent Technologies Inc, Fortinet Inc, Cboe Global Markets ... Findlay Park Partners LLP Buys Agilent Technologies Inc, Fiserv Inc, Analog Devices Inc, Sells ... MercadoLibre (MELI) Q1 Earnings & Revenues Beat Estimates Expedia Group (EXPE) Q1 Earnings Top, Revenues Lag Estimates",0.0
2019-05-06,A,"Turtle Beach (HEAR) to Report Q1 Earnings: What's in Store? Dean Capital Investments Management, LLC Buys The Chemours Co, Delek US Holdings Inc, Alcoa ... Meridian Management Co Buys CVS Health Corp, Boeing Co, LiveRamp Holdings Inc, Sells iShares ... Synaptics (SYNA) Q3 Earnings: Will the Stock Disappoint? What's in the Offing for TripAdvisor's (TRIP) Q1 Earnings? What's in the Offing for Mettler-Toledo's (MTD) Q1 Earnings? Etsy (ETSY) to Report Q1 Earnings: What's in the Cards? Pareteum (TEUM) to Post Q1 Earnings: What's in the Cards? Factors to Consider Ahead of eGain's (EGAN) Q3 Earnings Pegasystems (PEGA) to Report Q1 Earnings: What's in Store? Pegasystems (PEGA) to Report Q1 Earnings: What's in Store? What's in Store for The Meet Group (MEET) in Q1 Earnings? What's in Store for The Meet Group (MEET) in Q1 Earnings?",0.0
2019-05-07,A,Agilent Technologies (A) Reports Next Week: Wall Street Expects Earnings Growth What's in Store for Booking Holdings' (BKNG) Q1 Earnings? What's in the Cards for Zillow Group (ZG) in Q1 Earnings? Dropbox (DBX) to Report Q1 Earnings: What's in the Offing? Will Lower Revenues Affect CommScope (COMM) Q1 Earnings?,-2.0
